/home/projects/nyosef/eitangr/miniconda3/envs/pixelgen-scvi/lib/python3.10/site-packages/anndata/utils.py:429: FutureWarning: Importing read_elem from `anndata.experimental` is deprecated. Import anndata.io.read_elem instead.
  warnings.warn(msg, FutureWarning)
2025-06-24 16:44:09,246 - Calc 436
2025-06-24 16:44:09,319 - Calc 437
2025-06-24 16:44:09,320 - Calc 438
2025-06-24 16:44:09,372 - Calc 439
2025-06-24 16:44:09,412 - Calc 440
2025-06-24 16:44:09,619 - Calc 441
2025-06-24 16:44:09,635 - Calc 442
2025-06-24 16:44:09,639 - Calc 443
2025-06-24 16:44:09,658 - Calc 444
2025-06-24 16:44:09,722 - Calc 445
2025-06-24 16:44:09,892 - Calc 446
2025-06-24 16:44:09,969 - Calc 447
2025-06-24 16:44:09,984 - Calc 448
2025-06-24 16:44:10,019 - Calc 449
2025-06-24 16:44:10,027 - Calc 450
2025-06-24 16:44:10,031 - Calc 451
2025-06-24 16:44:10,121 - Calc 452
2025-06-24 16:44:10,199 - Calc 453
2025-06-24 16:44:10,282 - Calc 454
2025-06-24 16:44:10,335 - Calc 455
2025-06-24 16:44:10,426 - Calc 456
2025-06-24 16:44:10,502 - Calc 457
2025-06-24 16:44:10,521 - Calc 458
2025-06-24 16:44:10,581 - Calc 459
2025-06-24 16:44:10,609 - Calc 460
2025-06-24 16:44:10,627 - Calc 461
2025-06-24 16:44:10,728 - Calc 462
2025-06-24 16:44:10,819 - Calc 463
2025-06-24 16:44:10,924 - Calc 464
2025-06-24 16:44:10,947 - Calc 465
2025-06-24 16:44:10,996 - Calc 466
2025-06-24 16:44:11,003 - Calc 467
2025-06-24 16:44:11,148 - Calc 468
2025-06-24 16:44:11,205 - Calc 469
2025-06-24 16:44:11,332 - Calc 470
2025-06-24 16:44:11,350 - Calc 471
2025-06-24 16:44:11,368 - Calc 472
2025-06-24 16:44:11,459 - Calc 473
2025-06-24 16:44:11,477 - Calc 474
2025-06-24 16:44:11,586 - Calc 475
2025-06-24 16:44:11,648 - Calc 476
2025-06-24 16:44:11,677 - Calc 477
2025-06-24 16:44:11,806 - Calc 478
2025-06-24 16:44:11,843 - Calc 479
2025-06-24 16:44:11,846 - Calc 480
2025-06-24 16:44:11,865 - Calc 481
2025-06-24 16:44:11,910 - Calc 482
2025-06-24 16:44:12,071 - Calc 483
2025-06-24 16:44:12,084 - Calc 484
2025-06-24 16:44:12,134 - Calc 485
2025-06-24 16:44:12,183 - Calc 486
2025-06-24 16:44:12,286 - Calc 487
2025-06-24 16:44:12,291 - Calc 488
2025-06-24 16:44:12,378 - Calc 489
2025-06-24 16:44:12,411 - Calc 490
2025-06-24 16:44:12,466 - Calc 491
2025-06-24 16:44:12,555 - Calc 492
2025-06-24 16:44:12,564 - Calc 493
2025-06-24 16:44:12,573 - Calc 494
2025-06-24 16:44:12,650 - Calc 495
2025-06-24 16:44:12,808 - Calc 496
2025-06-24 16:44:12,814 - Calc 497
2025-06-24 16:44:12,880 - Calc 498
2025-06-24 16:44:12,942 - Calc 499
2025-06-24 16:44:12,986 - Calc 500
2025-06-24 16:44:12,997 - Calc 501
2025-06-24 16:44:13,085 - Calc 502
2025-06-24 16:44:13,095 - Calc 503
2025-06-24 16:44:13,214 - Calc 504
2025-06-24 16:44:13,294 - Calc 505
2025-06-24 16:44:13,326 - Calc 506
2025-06-24 16:44:13,336 - Calc 507
2025-06-24 16:44:13,341 - Calc 508
2025-06-24 16:44:13,355 - Calc 509
2025-06-24 16:44:13,355 - Calc 510
2025-06-24 16:44:13,482 - Calc 511
2025-06-24 16:44:13,554 - Calc 512
2025-06-24 16:44:13,597 - Calc 513
2025-06-24 16:44:13,608 - Calc 514
2025-06-24 16:44:13,668 - Calc 515
2025-06-24 16:44:13,719 - Calc 516
2025-06-24 16:44:13,791 - Calc 517
2025-06-24 16:44:13,829 - Calc 518
2025-06-24 16:44:13,834 - Calc 519
2025-06-24 16:44:13,845 - Calc 520
2025-06-24 16:44:13,847 - Calc 521
2025-06-24 16:44:13,862 - Calc 522
2025-06-24 16:44:13,921 - Calc 523
2025-06-24 16:44:14,124 - Calc 524
2025-06-24 16:44:14,144 - Calc 525
2025-06-24 16:44:14,194 - Calc 526
2025-06-24 16:44:14,209 - Calc 527
2025-06-24 16:44:14,231 - Calc 528
2025-06-24 16:44:14,321 - Calc 529
2025-06-24 16:44:14,371 - Calc 530
2025-06-24 16:44:14,383 - Calc 531
2025-06-24 16:44:14,477 - Calc 532
2025-06-24 16:44:14,592 - Calc 533
2025-06-24 16:44:14,661 - Calc 535
2025-06-24 16:44:14,658 - Calc 534
2025-06-24 16:44:14,684 - Calc 536
2025-06-24 16:44:14,750 - Calc 537
2025-06-24 16:44:14,810 - Calc 538
2025-06-24 16:44:14,836 - Calc 539
2025-06-24 16:44:14,964 - Calc 540
2025-06-24 16:44:14,976 - Calc 541
2025-06-24 16:44:15,061 - Calc 542
2025-06-24 16:44:15,090 - Calc 543
2025-06-24 16:44:15,113 - Calc 544
2025-06-24 16:44:15,175 - Calc 545
2025-06-24 16:44:15,184 - Calc 546
2025-06-24 16:44:15,274 - Calc 547
2025-06-24 16:44:15,279 - Calc 548
2025-06-24 16:44:15,333 - Calc 549
2025-06-24 16:44:15,444 - Calc 550
2025-06-24 16:44:15,497 - Calc 551
2025-06-24 16:44:15,499 - Calc 552
2025-06-24 16:44:15,510 - Calc 553
2025-06-24 16:44:15,564 - Calc 554
2025-06-24 16:44:15,687 - Calc 555
2025-06-24 16:44:15,754 - Calc 556
2025-06-24 16:44:15,770 - Calc 557
2025-06-24 16:44:15,781 - Calc 558
2025-06-24 16:44:15,876 - Calc 559
2025-06-24 16:44:15,880 - Calc 560
2025-06-24 16:44:15,884 - Calc 561
2025-06-24 16:44:15,888 - Calc 562
2025-06-24 16:44:15,910 - Calc 563
2025-06-24 16:44:15,932 - Calc 564
2025-06-24 16:44:16,073 - Calc 565
2025-06-24 16:44:16,122 - Calc 566
2025-06-24 16:44:16,152 - Calc 567
2025-06-24 16:44:16,244 - Calc 568
2025-06-24 16:44:16,341 - Calc 569
2025-06-24 16:44:16,416 - Calc 570
2025-06-24 16:44:16,432 - Calc 571
2025-06-24 16:44:16,526 - Calc 572
2025-06-24 16:44:16,562 - Calc 573
2025-06-24 16:44:16,623 - Calc 574
2025-06-24 16:44:16,636 - Calc 575
2025-06-24 16:44:16,651 - Calc 576
2025-06-24 16:44:16,667 - Calc 577
2025-06-24 16:44:16,749 - Calc 578
2025-06-24 16:44:16,804 - Calc 579
2025-06-24 16:44:16,817 - Calc 580
2025-06-24 16:44:16,888 - Calc 581
2025-06-24 16:44:17,000 - Calc 582
2025-06-24 16:44:17,060 - Calc 583
2025-06-24 16:44:17,093 - Calc 584
2025-06-24 16:44:17,129 - Calc 585
2025-06-24 16:44:17,130 - Calc 586
2025-06-24 16:44:17,147 - Calc 587
2025-06-24 16:44:17,202 - Calc 588
2025-06-24 16:44:17,210 - Calc 589
2025-06-24 16:44:17,365 - Calc 590
2025-06-24 16:44:17,368 - Calc 591
2025-06-24 16:44:17,375 - Calc 592
2025-06-24 16:44:17,383 - Calc 593
2025-06-24 16:44:17,447 - Calc 594
2025-06-24 16:44:17,450 - Calc 595
2025-06-24 16:44:17,538 - Calc 596
2025-06-24 16:44:17,549 - Calc 597
